,rec,ver,tag,src,val.mtf1,val.pm1,val.mtf5,val.pm2p5,val.bin,val.mtf3,val.pm10,val.mtf7,val.per,val.sfr,val.sht.hmd,val.sht.tmp,exg.val.pm10,exg.val.pm1,exg.val.pm2p5,exg.src
0,2024-04-21T13:15:34Z,2.0,scs-bgx-868,N3,35.0,2.9,39.0,6.9,"[264.0, 50.0, 17.0, 3.0, 5.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",33.0,11.2,42.0,4.1,2.7,33.8,46.6,12.3,4.4,6.5,rn20
1,2024-04-21T13:15:44Z,2.0,scs-bgx-868,N3,30.0,2.8,50.0,9.9,"[264.0, 52.0, 14.0, 8.0, 6.0, 6.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41.0,20.9,47.0,4.1,3.02,33.8,46.6,12.3,5.0,7.3,rn20
2,2024-04-21T13:15:54Z,2.0,scs-bgx-868,N3,29.0,2.1,50.0,7.0,"[257.0, 35.0, 11.0, 6.0, 3.0, 3.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",40.0,14.0,39.0,4.1,3.26,33.8,46.6,10.3,4.2,4.4,rn20
3,2024-04-21T13:16:04Z,2.0,scs-bgx-868,N3,34.0,2.7,42.0,7.4,"[284.0, 42.0, 17.0, 6.0, 4.0, 5.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",38.0,10.3,0.0,4.1,3.01,33.8,46.5,11.8,6.3,6.2,rn20
4,2024-04-21T13:16:14Z,2.0,scs-bgx-868,N3,33.0,2.5,35.0,7.1,"[234.0, 48.0, 13.0, 3.0, 8.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",38.0,10.4,0.0,4.1,2.95,33.8,46.5,11.6,4.6,4.8,rn20
5,2024-04-21T13:16:24Z,2.0,scs-bgx-868,N3,34.0,2.9,40.0,6.2,"[269.0, 54.0, 21.0, 5.0, 4.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",42.0,8.1,0.0,4.1,2.83,33.8,46.5,13.0,5.0,6.3,rn20
6,2024-04-21T13:16:34Z,2.0,scs-bgx-868,N3,34.0,2.8,35.0,6.4,"[263.0, 48.0, 14.0, 5.0, 7.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",44.0,7.8,0.0,4.1,2.78,33.8,46.5,10.9,5.2,5.8,rn20
7,2024-04-21T13:16:44Z,2.0,scs-bgx-868,N3,33.0,2.8,50.0,10.6,"[249.0, 46.0, 12.0, 4.0, 11.0, 4.0, 5.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",45.0,23.2,34.0,4.1,2.82,33.8,46.5,12.4,4.3,5.5,rn20
8,2024-04-21T13:16:54Z,2.0,scs-bgx-868,N3,35.0,3.3,49.0,6.9,"[303.0, 59.0, 19.0, 3.0, 5.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",48.0,8.5,0.0,4.1,2.68,33.8,46.5,12.1,7.0,7.3,rn20
9,2024-04-21T13:17:04Z,2.0,scs-bgx-868,N3,32.0,3.0,43.0,7.0,"[267.0, 66.0, 15.0, 4.0, 7.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",37.0,9.0,0.0,4.1,2.86,33.8,46.5,12.8,5.0,5.9,rn20
